Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
29,1.0,0.0,397.0,9.0,42.0,1526.0,0.0,14.710000009999991,14.710000009999991,0.0,254.32342886924744,,,,,,,,,,,,,,,,3.3379654840771344,4.3152464358198825,14.587731156309152,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,457.0,10.0,61.0,1587.0,0.0,42.80600001,42.80600001,0.0,262.8051733970642,,,,,,,,,,,,,,,,15.567979373925045,13.959883309737895,41.913835082647154,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,496.0,11.0,40.0,1627.0,0.0,23.206000010000018,23.206000010000018,0.0,268.62683391571045,,,,,,,,,,,,,,,,7.327481099654824,7.643856542805612,22.943171418531996,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,582.0,12.0,87.0,1714.0,0.0,62.40600001,62.40600001,0.0,280.4838743209839,,,,,,,,,,,,,,,,23.52235946501299,19.419703625921517,60.44352061662552,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,629.0,13.0,48.0,1762.0,0.0,28.008000010000018,28.008000010000018,0.0,287.55692076683044,,,,,,,,,,,,,,,,8.961085911295632,9.04797686149336,27.614443415584685,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,658.0,14.0,30.0,1792.0,0.0,7.508000009999999,7.508000009999999,0.0,292.1192741394043,,,,,,,,,,,,,,,,1.5859800944789337,2.1047914130270438,7.469476063323432,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,706.0,15.0,49.0,1841.0,0.0,16.608000010000016,16.608000010000016,0.0,299.1501934528351,,,,,,,,,,,,,,,,4.186008929547271,4.77354032425633,16.423495076458188,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,749.0,16.0,44.0,1885.0,0.0,19.806000010000027,19.806000010000027,0.0,305.4864139556885,,,,,,,,,,,,,,,,5.300694461813798,6.1043568172072264,19.597667815957966,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,787.0,17.0,39.0,1924.0,0.0,22.205000010000017,22.205000010000017,0.0,311.2060525417328,,,,,,,,,,,,,,,,7.010892298978785,7.236255221905726,21.960546649288094,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,807.0,18.0,21.0,1945.0,0.0,4.7060000099999995,4.7060000099999995,0.0,314.6289529800415,,,,,,,,,,,,,,,,0.9523720960173898,1.3307631526747827,4.691644212291945,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,841.0,19.0,35.0,1980.0,0.0,10.208000009999992,10.208000009999992,0.0,319.8254363536835,,,,,,,,,,,,,,,,2.2417336203365004,2.887145151931165,10.141922989898458,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,967.0,20.0,127.0,2107.0,0.0,62.306000010000005,62.306000010000005,0.0,337.03677582740784,,,,,,,,,,,,,,,,24.08543572686589,17.831443770574992,59.33056567408903,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,25.0,1.0,26.0,2133.0,0.0,5.908000009999999,5.908000009999999,0.0,375.95015501976013,,,,,,,,,,,,,,,,1.1148102532116797,1.6163465975877833,5.886015769439147,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,67.0,2.0,43.0,2176.0,0.0,14.908000009999993,14.908000009999993,0.0,382.2200412750244,,,,,,,,,,,,,,,,4.282876681511274,4.499719600458063,14.742862051427958,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,111.0,3.0,45.0,2221.0,0.0,28.705000010000017,28.705000010000017,0.0,388.76824712753296,,,,,,,,,,,,,,,,9.796203688835128,9.435458455823289,28.302269317008268,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,140.0,4.0,30.0,2251.0,0.0,7.607000009999998,7.607000009999998,0.0,393.39653491973877,,,,,,,,,,,,,,,,1.6569573730821814,2.1250653662568006,7.566514760941556,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,216.0,5.0,77.0,2328.0,0.0,34.00700001000002,34.00700001000002,0.0,403.9232847690582,,,,,,,,,,,,,,,,12.345261033683414,9.532060397524107,33.101862033473544,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,261.0,6.0,46.0,2374.0,0.0,22.607000010000025,22.607000010000025,0.0,410.53499484062195,,,,,,,,,,,,,,,,6.335012578615599,7.131985315295077,22.344268712674975,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
